GeneName;ID;baseMean;log2FC;pval;padj
Sntb2;ENSMUSG00000041308;348.5736503;0.330921677;0.005901033;0.265949402
Ifit3b;ENSMUSG00000062488;12.19499651;1.325166356;0.005907317;0.265949402
Rplp1;ENSMUSG00000007892;169.7734809;-0.415725249;0.005970246;0.267874445
Atp5b;ENSMUSG00000025393;823.1622646;-0.153696901;0.005999339;0.268273451
Hdgf;ENSMUSG00000004897;467.4150869;-0.222231832;0.006054945;0.269851443
Pmp22;ENSMUSG00000018217;72.21350876;0.636330211;0.006114992;0.271616078
Tnfrsf26;ENSMUSG00000045362;14.5861723;-2.030007179;0.006238529;0.275280609
Rrbp1;ENSMUSG00000027422;412.0593675;0.307441502;0.006238948;0.275280609
Xpot;ENSMUSG00000034667;295.2504303;-0.293984967;0.006357559;0.279585245
Irgm2;ENSMUSG00000069874;29.47124157;0.920520904;0.006395429;0.280277977
Trim30d;ENSMUSG00000057596;12.73301106;1.292028424;0.006442995;0.280277977
Chd3;ENSMUSG00000018474;239.8349314;-0.33326914;0.006447281;0.280277977
Npnt;ENSMUSG00000040998;21.10212632;-1.528846882;0.006483479;0.280277977
Fndc3c1;ENSMUSG00000033737;30.36793249;0.907745335;0.006499594;0.280277977
Col4a4;ENSMUSG00000067158;67.84961295;0.649186588;0.006499934;0.280277977
Mlec;ENSMUSG00000048578;695.4136982;-0.169650901;0.006552042;0.280717511
Clcn5;ENSMUSG00000004317;181.0717865;-0.394435029;0.0065524;0.280717511
Fstl1;ENSMUSG00000022816;2014.744939;0.16670884;0.006600629;0.281874436
Bst2;ENSMUSG00000046718;28.15609489;0.929563359;0.006995494;0.297779343
Picalm;ENSMUSG00000039361;377.2677598;0.314515257;0.007118722;0.302056688
Slc38a2;ENSMUSG00000022462;1078.181162;0.20777732;0.007232655;0.304963861
Bsg;ENSMUSG00000023175;616.7440148;0.257825876;0.007233161;0.304963861
Olfm1;ENSMUSG00000026833;16.49911293;-1.792756798;0.007260611;0.305152437
Alkal1;ENSMUSG00000087247;34.97094588;0.846201071;0.007299044;0.305206859
Fmr1;ENSMUSG00000000838;288.2562411;-0.292027544;0.007325997;0.305206859
Dhcr24;ENSMUSG00000034926;24.27043424;-1.358181389;0.007330848;0.305206859
Rnase4;ENSMUSG00000021876;7.532203728;1.560880156;0.007601431;0.31548316
Sumo3;ENSMUSG00000020265;311.0919699;-0.276022865;0.007774895;0.321677215
2610008E11Rik;ENSMUSG00000060301;35.38940164;0.835530387;0.007862023;0.324271822
Txndc16;ENSMUSG00000021830;82.85424101;0.584770776;0.00790953;0.32428842
Fam3c;ENSMUSG00000029672;92.23960598;0.558942083;0.00791126;0.32428842
Adamts2;ENSMUSG00000036545;30.12881491;-1.159011925;0.007951312;0.324927315
Atp2b4;ENSMUSG00000026463;95.88614905;0.549204619;0.00800508;0.326121085
