"probe","EntrezGene.ID","HUGO.gene.symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Contig58301_RC",6542,"SLC7A2",-0.753102774735304,-0.277780415430267,-17.4728234380054,3.24886699397219e-49,5.68110806281665e-46,101.162192728466
"NM_020974",57758,"SCUBE2",-0.896246394669588,-0.281231454005935,-17.19801400885,4.09855819607626e-48,6.27192326425575e-45,98.6543519527342
"NM_005080",7494,"XBP1",-0.532295500182548,-0.113462908011869,-17.1979989101213,4.09912880307553e-48,6.27192326425575e-45,98.6542142244126
"Contig52543_RC",138162,"C9orf116",-0.512928144280969,-0.0873867069486405,-17.1515540159453,1.0263631116408e-47,1.47802325506343e-44,97.7425345401121
"Contig50153_RC",145864,"HAPLN3",0.357942815249267,-0.0495595238095238,16.9464689131513,4.50145696421202e-47,6.1222315522708e-44,96.2837008479157
"NM_000044",367,"AR",-0.688593830090175,-0.184432024169184,-16.8990717823729,1.03109585385542e-46,1.3285398735913e-43,95.4604427578285
"Contig41635_RC",NA,NA,0.269071001423826,-0.00811480362537764,16.8094997833566,2.33631969320777e-46,2.85977212047097e-43,94.65136108394
"Contig43983_RC",NA,NA,-0.705977437207322,-0.242281818181818,-16.7492507677183,4.37639143595475e-46,5.1018304163623e-43,94.0328605020992
"NM_005375",4602,"MYB",-0.595912285505659,-0.155219584569733,-16.6823201978327,4.73523703413569e-46,5.26924262875799e-43,93.9552078705883
"Contig49581_RC",84002,"B3GNT5",0.349652747353049,-0.0114510385756677,16.5482891735095,1.6239538939988e-45,1.72852240343412e-42,92.7358220769118
"Contig39226_RC",NA,NA,-0.653963307776561,-0.206213649851632,-16.2669363295875,2.15110363886336e-44,2.19421534095891e-41,90.1793870011482
"Contig56390_RC",203328,"SUSD3",-0.783096588802373,-0.244355223880597,-16.1997381251209,4.5765100370483e-44,4.48150168867918e-41,89.4313675774891
"NM_000662",9,"NAT1",-0.729776469514421,-0.239765578635015,-16.1230414328602,8.04805526223253e-44,7.48775550904368e-41,88.8738407927039
"NM_014246",9620,"CELSR1",-0.501985624315444,-0.1153353115727,-16.1202285900848,8.25821652482249e-44,7.48775550904368e-41,88.8483341389176
"Contig54295_RC",NA,NA,-0.428996759766338,-0.078946587537092,-15.9753534310006,3.11286803506448e-43,2.72164722737191e-40,87.535384388917
"NM_006113",10451,"VAV3",-0.56628527747353,-0.172985163204748,-15.9685626918605,3.31249843471666e-43,2.79631979932064e-40,87.473880430299
"U92544",10916,"MAGED2",-0.369450803212851,-0.0822729970326409,-15.9636278902393,3.46554743218162e-43,2.82800222290794e-40,87.4291879553608
"AL133619",NA,NA,-0.719554947060971,-0.274795252225519,-15.9082552154616,5.75208742928524e-43,4.54247910826877e-40,86.9278284156458
"Contig57644_RC",NA,NA,-0.628926204819277,-0.152928783382789,-15.8781824159377,7.57342133958545e-43,5.79390399419973e-40,86.6556410423284
"NM_012319",NA,NA,-0.644135542168675,-0.242816023738872,-15.8597888868727,8.96079104509103e-43,6.64754925984465e-40,86.4891974876489
"NM_001453",2296,"FOXC1",0.697479352916135,-0.27240303030303,15.8543186441658,1.49483230222457e-42,1.07632322325764e-39,85.9839681955561
"AB023211",NA,NA,0.552920591456736,-0.118219584569733,15.7591353361024,2.24854405554338e-42,1.57276020067878e-39,85.5788676618341
"NM_000507",2203,"FBP1",-0.455155394304491,-0.0791186943620178,-15.6975683725983,3.94561143694087e-42,2.68312537743748e-39,85.0224623840083
"U79293",NA,NA,-0.518431042351223,-0.153456973293769,-15.6084647459717,8.89811454330526e-42,5.88742546309881e-39,84.2177821508021
"AB037836",57580,NA,-0.482364630937543,-0.142383928571429,-15.6076086971656,9.54465507196644e-42,6.14901844254764e-39,84.1474922909928
"NM_018014",53335,"BCL11A",0.543651606425703,-0.129439169139466,15.5844110156586,1.10812126444804e-41,6.95587607050062e-39,84.0006787057267
"NM_016405",51465,"UBE2J1",0.278196487897485,-0.0243111782477341,15.5856110656542,1.59708251792476e-41,9.77454428032901e-39,83.6387926978148
"NM_000636",6648,"SOD2",0.411226588170865,-0.0586053412462908,15.5268129818558,1.87356268982854e-41,1.11869971243152e-38,83.4810281768542
"NM_006408",10551,"AGR2",-0.774100401606426,-0.283038575667656,-15.5050830451164,2.28391944305071e-41,1.33125314012677e-38,83.2850607324789
"Contig46597_RC",NA,NA,-0.642008123402702,-0.135569732937685,-15.4874537861499,2.68192994522979e-41,1.52689132532955e-38,83.1261073509091
"NM_017732",54681,NA,-0.365120204957762,-0.0539255952380952,-15.43803822243,4.4687354283812e-41,2.48634345505001e-38,82.6201512618609
"NM_016463",51523,"CXXC5",-0.359113557678992,-0.0391815476190476,-15.41261493554,5.63114924140403e-41,3.0634703239736e-38,82.3913951149218
"AF007153",2066,"ERBB4",-0.59841265060241,-0.18659940652819,-15.3799620220273,7.13763315657155e-41,3.79861733273974e-38,82.1575636530056
"NM_016629",27242,"TNFRSF21",0.326231197517342,-0.0387477744807122,15.2992692509976,1.48711875868345e-40,7.61448146760244e-38,81.4312464715383
"NM_006623",26227,"PHGDH",0.489149233296824,-0.0968961424332344,15.2988370343332,1.49297459435855e-40,7.61448146760244e-38,81.4273578760603
"NM_006787",10916,"MAGED2",-0.411798365877302,-0.104678571428571,-15.2985430270943,1.58779187451906e-40,7.93280262859208e-38,81.3657747345789
"Contig36647_RC",NA,NA,-0.740570014662757,-0.283741071428571,-15.223068869734,3.15022099284196e-40,1.54241120251528e-37,80.6889567033283
"Contig47405_RC",NA,NA,-0.620340543994159,-0.223261127596439,-15.1977531067692,3.740966840595e-40,1.79573743577659e-37,80.5184581385897
